seed,NX,dx,k_in_micron2
101,50,3.9999999999999998e-06,33.124543
101,75,2.6666666666666668e-06,29.378983
101,100,1.9999999999999999e-06,28.464799
101,150,1.3333333333333334e-06,27.999570
101,200,9.9999999999999995e-07,27.758054
101,400,4.9999999999999998e-07,27.723391
202,50,3.9999999999999998e-06,35.188952
202,75,2.6666666666666668e-06,32.917316
202,100,1.9999999999999999e-06,32.524886
202,150,1.3333333333333334e-06,31.639296
202,200,9.9999999999999995e-07,31.363150
202,400,4.9999999999999998e-07,31.490680
303,50,3.9999999999999998e-06,34.256877
303,75,2.6666666666666668e-06,31.026752
303,100,1.9999999999999999e-06,30.109906
303,150,1.3333333333333334e-06,29.377483
303,200,9.9999999999999995e-07,28.780463
303,400,4.9999999999999998e-07,28.720199
